planificacion,organizacion,autonomia,concentracion,evitacion,uso_celular,redes_sociales,procrastinacion,procrastinacion_score,etiqueta
3,3,5,4,3,4,3,2,2.625,bajo
2,3,2,2,3,4,4,3,3.625,medio
4,4,5,3,3,4,4,3,2.75,bajo
2,1,4,2,4,4,4,3,3.75,medio
5,4,5,3,3,3,4,2,2.375,bajo
3,4,3,5,2,2,3,3,2.375,bajo
4,4,5,4,3,3,2,3,2.25,bajo
5,4,3,3,4,4,4,2,2.875,bajo
2,2,2,3,4,5,4,4,4.0,alto
4,4,2,3,2,4,4,3,3.0,medio
2,2,2,1,4,5,5,5,4.5,alto
1,2,4,4,4,4,2,4,3.375,medio
4,2,5,3,4,5,5,2,3.25,medio
4,3,5,4,3,3,4,2,2.5,bajo
2,3,3,2,3,4,4,3,3.5,medio
3,3,4,4,3,3,3,2,2.625,bajo
3,4,4,4,3,4,3,3,2.75,bajo
3,1,4,4,4,5,4,3,3.5,medio
3,3,5,3,4,4,4,5,3.375,medio
3,3,2,2,3,3,4,4,3.5,medio
5,4,5,4,2,5,3,2,2.25,bajo
3,3,4,3,2,4,4,3,3.0,medio
3,4,4,3,4,5,4,5,3.5,medio
2,1,4,2,5,5,5,5,4.375,alto
5,2,5,3,4,3,4,2,2.75,bajo
1,1,1,2,5,3,5,5,4.625,alto
4,2,4,3,3,4,3,3,3.0,medio
3,2,2,3,4,4,3,4,3.625,medio
2,2,4,3,1,4,4,4,3.25,medio
2,2,4,2,1,4,4,3,3.25,medio
3,2,3,2,4,4,4,5,3.875,alto
2,2,4,3,4,4,4,3,3.5,medio
3,1,1,3,2,5,4,3,3.75,medio
3,1,1,4,5,5,5,5,4.375,alto
5,3,5,4,2,3,3,2,2.125,bajo
3,3,4,4,4,4,4,4,3.25,medio
4,2,3,3,3,4,4,4,3.375,medio
3,4,1,4,3,1,1,1,2.25,bajo
2,4,3,2,4,4,4,4,3.625,medio
2,1,3,3,4,4,5,4,4.0,alto
5,5,5,3,3,4,5,2,2.5,bajo
2,2,2,2,2,5,5,5,4.125,alto
4,4,3,2,4,4,4,4,3.375,medio
2,4,3,3,4,4,4,4,3.5,medio
4,3,3,2,4,5,5,4,3.75,medio
4,5,4,3,2,4,3,2,2.375,bajo
5,5,5,4,1,3,2,4,1.875,bajo
4,2,3,4,3,3,3,3,2.875,medio
